phrase,thing,t_s,t_e,place,p_s,p_e,rating
my oxtongue a la cavour at Salaam Restaurant And Bakery was delicious,oxtongue a la cavour,3,24,Salaam Restaurant And Bakery,27,56,delicious
I thought the pork chops a la soubise at Alden Northmoor Rehab Hlth was okay,pork chops a la soubise,14,38,Alden Northmoor Rehab  Hlth,-1,27,okay
Meerath Kabab Live Bbq's rack of lamb with brussels sprouts is not that bad,rack of lamb with brussels sprouts,25,60,Meerath Kabab Live Bbq,0,23,not that bad
La Flor De Michoacan Paleteria Y Neveria's china chow chow is not that bad,china chow chow,43,59,La Flor De Michoacan Paleteria Y Neveria,0,41,not that bad
the kishka at Cafe Con Leche D Noche is not that bad,kishka,4,11,Cafe Con Leche D  Noche,-1,23,not that bad
my japanese at Jamaican Jerk Palace was delicious,japanese,3,12,Jamaican Jerk Palace,15,36,delicious
the hussalta I had at Dining Llc was could have been better,hussalta,4,13, Dining Llc,21,33,could have been better
the ostender seezunge millerin art in brauner butter at Center On Halsted is bad,ostender seezunge millerin art in brauner butter,4,53,Center On Halsted,56,74,bad
focaccia baresi Ubitas Ice Cream terrible,focaccia baresi,0,16,Ubitas Ice Cream,16,33,terrible
Savory's special salad san angel inn for two is delicious,special salad san angel inn for two,9,45,Savory,0,7,delicious
my clear custar at Insomnia Cookies was not that bad,clear custar,3,16,Insomnia Cookies,19,36,not that bad
Creative Kidz Learning Center Inc zuppa romana terrible,zuppa romana,34,47,Creative Kidz Learning Center Inc,0,34,terrible
I thought the arles sausages at Devon Ridge Inc was could have been better,arles sausages,14,29,Devon  Ridge Inc,-1,16,could have been better
winehavena matured table claret Arami Go tasty,winehavena matured table claret,0,32,Arami Go,32,41,tasty
Los Cantaritos Grill Inc's creme diplomate with kirsch sauce is not that bad,creme diplomate with kirsch sauce,27,61,Los Cantaritos Grill Inc,0,25,not that bad
could have been better crocchette di pollo con zucchine Gold Coast Dogs,crocchette di pollo con zucchine,23,56,Gold Coast Dogs,56,72,could have been better
the glass milk with rolls I had at Jewel Food Store was decent,glass milk with  rolls,-1,22,Jewel Food Store ,35,53,decent
I thought the the tiffin famous double filet mignon for one at Jefferson Park Grill Inc was not that bad,the tiffin famous double filet mignon for one,14,60,Jefferson Park Grill Inc,63,88,not that bad
gemuseschnitzel mit tomatensauce Golden Hooks Fish Chicken not that good,gemuseschnitzel mit tomatensauce,0,33,Golden Hooks Fish  Chicken,-1,26,not that good
Vaness Grocery Inc glazed sugar cured ham with candied sweet potatoes terrible,glazed sugar cured ham with candied sweet potatoes,19,70,Vaness Grocery Inc,0,19,terrible
I thought the g h mumms cordon rouge brut wine at Taste Of Peru was acceptable,g h mumms cordon rouge brut wine,14,47,Taste Of Peru,50,64,acceptable
Saveway Supermarket cold coquille of crab flakes virginia bad,cold coquille of crab flakes virginia,20,58,Saveway Supermarket,0,20,bad
the chiffonnade salad with french dressing I had at Chickcago Grille was terrible,chiffonnade salad with french dressing,4,43,Chickcago Grille,52,69,terrible
my banana layer cake at Mezcal Birria Ocotlan was not that bad,banana layer cake,3,21,Mezcal Birria Ocotlan,24,46,not that bad
my brot mit holsteiner mettwurst at Clark Catering Inc was delicious,brot mit holsteiner mettwurst ,3,34,Clark Catering Inc,36,55,delicious
I thought the absinthe green or white at Lans was was bomb,absinthe green or white,14,38,Lans,41,46,was bomb
the homard a la maryland I had at Ryder Elementary School was terrible,homard a la maryland,4,25,Ryder Elementary School,34,58,terrible
the draught carlsberg lager at Giordanos On Sheridan is okay,draught carlsberg lager,4,28,Giordanos On Sheridan,31,53,okay
the veal scallops escalope de veau served with french fried potatoes or rice I had at El Nuevo Taconazo was terrible,veal scallops escalope de veau served with french fried potatoes or rice,4,77,El Nuevo Taconazo,86,104,terrible
my fried cerealine cakes at China Hut Restaurant was decent,fried cerealine cakes,3,25,China  Hut Restaurant,-1,21,decent
Mollison Elementary School santenay ac fruchtige fulle sucked,santenay ac fruchtige fulle,27,55,Mollison Elementary School,0,27,sucked
the lafayette special I had at Gyukaku Restaurant was good,lafayette special,4,22,Gyukaku Restaurant,31,50,good
Jewel Food Store 's creamed oysters on toast is not that good,creamed oysters on toast,20,45,Jewel Food  Store  ,-1,19,not that good
the tylerian onion I had at Eleven was good,tylerian onion ,4,20,  Eleven,-1,8,good
my omelette lorraine at Oban Popeyes Inc was bad,omelette lorraine,3,21,Oban Popeyes  Inc,-1,17,bad
King Pho Plus graves superior sauterne bot delicious,graves superior sauterne   bot ,-1,31,King Pho Plus,0,14,delicious
my morning glory at Sharks Fish Chicken was terrible,morning glory,3,17,Sharks Fish  Chicken,-1,20,terrible
the imported madeira I had at Java N Mug was bad,imported madeira,4,21,Java N Mug,30,41,bad
I thought the loin lamb chop with sausage and potatoes at Phily Sub Inc was delicious,loin lamb chop with sausage and potatoes,14,55,Phily Sub Inc,58,72,delicious
Galileo Elementary 's cinzano weiss is delicious,cinzano weiss,22,36,Galileo Elementary ,0,20,delicious
chicken sandwich cold Windy City Produce Mart acceptable,chicken sandwich cold,0,22,Windy City Produce Mart,22,46,acceptable
Mcdonalds 's minutensteak mit edelpilzen is bad,minutensteak mit edelpilzen,13,41,Mcdonalds ,0,11,bad
the landsknech salat I had at Lasalle News Inc was bad,landsknech salat,4,21,Lasalle News Inc,30,47,bad
sucked waffeln schokoladensauce Eleven A,waffeln schokoladensauce,7,32, Eleven  A,-1,10,sucked
sauvignon fume blanc robert mondavi Paula Monicas Pizzeria terrible,sauvignon fume blanc robert mondavi,0,36,Paula  Monicas Pizzeria,-1,23,terrible
the moulin a vent louis jadot I had at Kentucky Fried Chicken was acceptable,moulin a vent  louis jadot,-1,26,Kentucky Fried Chicken,39,62,acceptable
Dunkin Donuts's kingfish saute a la meuniere is not that good,kingfish saute a la meuniere,16,45,Dunkin Donuts,0,14,not that good
my bordeaux rouge chteau figeac at Ihop was good,bordeaux rouge chteau figeac,3,32,Ihop,35,40,good
I thought the consomme sarah bernhardt at Lutz Continental Cafe Pastry Shop was was bomb,consomme sarah bernhardt,14,39,Lutz Continental Cafe  Pastry Shop,-1,34,was bomb
the pineapple dessert surprise at Electric Mud Coffee Bar is was bomb,pineapple dessert surprise,4,31,Electric Mud Coffee Bar,34,58,was bomb
Walmart Express king size club sandwich not that bad,king size club sandwich,16,40,Walmart Express ,0,17,not that bad
I thought the longchamps strawberry tart at Paleteria Y Neveria La Mexicana Yogurt And Churro was bad,longchamps strawberry tart,14,41,Paleteria Y Neveria La Mexicana Yogurt And Churro,44,94,bad
sucked roher schinken Ritzcarlton Water Tower,roher schinken,7,22,Ritzcarlton Water Tower,22,46,sucked
the tomatencremesuppe von frischen cherrytomaten at Illinois Sportservice Inc is sucked,tomatencremesuppe von frischen cherrytomaten,4,49,Illinois Sportservice Inc,52,78,sucked
I thought the rumaki po po chicken livers and waterchestnuts at Giordanos On Jackson was was bomb,rumaki po po chicken livers and waterchestnuts,14,61,Giordanos On Jackson,64,85,was bomb
was bomb general pico Derby,general pico,9,22,Derby,22,28,was bomb
filetto di manzo alla tartara The Fire Place Inn not that bad,filetto di manzo alla tartara,0,30,The Fire Place Inn,30,49,not that bad
I thought the plate at Meli Cafe On Grand was terrible,plate,14,20,Meli Cafe On Grand,23,42,terrible
the perlino asti spumonte at Swaporama Flea Market is good,perlino asti spumonte,4,26,Swaporama Flea Market,29,51,good
Milanos Meats Produce's williamscristbirne schladerer is okay,williamscristbirne schladerer,24,54,Milanos Meats  Produce,-1,22,okay
the stuck palatschinken I had at Leo High School was was bomb, stuck palatschinken,3,24,Leo High School,33,49,was bomb
my er iphofer kronsberg silvaner auslese at Argo Tea Uch Llc was could have been better,er iphofer kronsberg silvaner auslese,3,41,Argo Tea Uch Llc,44,61,could have been better
the belegtes brot mit roastbeef at Barn And Company is tasty,belegtes brot mit roastbeef,4,32,Barn And Company,35,52,tasty
the hummersalat amerikanisch I had at Cafe New Day Llc was sucked,hummersalat amerikanisch,4,29,Cafe New Day Llc,38,55,sucked
the potatoes at Subway is not that bad, potatoes,3,13,Subway,16,23,not that bad
Starbuck Coffee 's home made raisin pie is terrible,home made raisin pie,19,40,Starbuck Coffee ,0,17,terrible
darnes de merlans au vin de johannesburg Burger King good,darnes de merlans au vin de johannesburg,0,41,Burger King ,41,54,good
not that good planked live lobster a la stauch Aroy Thai Restaurant,planked live lobster a la stauch,14,47,Aroy Thai Restaurant,47,68,not that good
the langoustines I had at Caribou Coffee Company was not that bad,langoustines,4,17,Caribou Coffee Company ,26,50,not that bad
salted spanish mackerels Galway Arms not that bad,salted spanish mackerels,0,25,Galway Arms,25,37,not that bad
I thought the schweine kotelett mit rotkohl und kartoffeln at King Poolo was sucked,schweine kotelett mit rotkohl und kartoffeln,14,59,King Poolo,62,73,sucked
Chartwells Thompsoninc's spiegeleier pascha is tasty,spiegeleier pascha,25,44,Chartwells Thompsoninc,0,23,tasty
american plan Woodson Cpc not that good,american plan,0,14,Woodson Cpc,14,26,not that good
I thought the concannon johannisberg riesling or moselle at Grossinger City Toyota was bad,concannon  johannisberg riesling or moselle,-1,43,Grossinger City Toyota,60,83,bad
the shrimp cocktail at Thomas Velma Ecc is bad,shrimp cocktail ,4,21,Thomas Velma Ecc,23,40,bad
the salmon teriyaki I had at Subway was bad,salmon teriyaki,4,20,Subway ,29,37,bad
my filet de bar raye saute at Morelia Supermarket Inc was sucked,filet de bar raye saute,3,27,Morelia Supermarket  Inc,-1,24,sucked
maple pecan ice cream Pillars Social Cafe bad,maple pecan ice cream,0,22,Pillars Social Cafe,22,42,bad
the tournedos de boeuf aux champignons frais I had at Wacker was bad,tournedos de boeuf aux champignons frais,4,45,Wacker,54,61,bad
Byrons Kitchens potato bake with jelly was bomb,potato bake with jelly,16,39,Byrons Kitchens,0,16,was bomb
the omelette soufflee celestine at Little Wok is not that bad,omelette soufflee celestine,4,32,Little Wok,35,46,not that bad
my filets of sole saute with oranges at Northside Grill was decent,filets of sole saute with oranges,3,37,Northside Grill,40,56,decent
Siam Pasta Ltd soft clams en brochette decent,soft clams  en brochette,-1,24,Siam Pasta Ltd,0,15,decent
okay southern comfort old fashioned Twisted Bull,southern comfort old fashioned,5,36,Twisted Bull,36,49,okay
I thought the top sirloin steak with fresh mushroom sauce at The Brealfast Lounge was good,top sirloin steak with fresh mushroom sauce,14,58,The Brealfast Lounge,61,82,good
the wine cups c and extra I had at Alzaytouna Mart was not that bad,wine cups c and   extra,-1,23,Alzaytouna Mart,35,51,not that bad
bad fromage tete de maure Uncle Johns Barbque,fromage tete de maure,4,26,Uncle Johns Barbque,26,46,bad
Charles Evans Hughes Public School cabinet amontillado acceptable,cabinet amontillado,35,55,Charles Evans Hughes Public School,0,35,acceptable
my le homard du maine choix des vieux gourmets at Bennett was not that good,le homard du maine choix des vieux gourmets,3,47,Bennett,50,58,not that good
the beaulieu medium dry sherry I had at Don De Vida was delicious,beaulieu medium dry sherry,4,31,Don De Vida,40,52,delicious
the cold fresh and smoked sausages I had at Baker Square was okay,cold fresh and smoked sausages,4,35,Baker Square  ,-1,14,okay
Falconer Elementary School's blanchaille is acceptable,blanchaille,29,41,Falconer Elementary School,0,27,acceptable
the baked idaho potatoes with spring onions and sour cream or butter I had at Original Bemos was bad,baked idaho potatoes with spring onions and sour cream or butter,4,69,Original Bemos,78,93,bad
the puree of green split pea soup I had at Mo Daileys Pub Grille was tasty,puree of green split pea soup,4,34,Mo Daileys Pub  Grille,-1,22,tasty
bad fettucini med baconflode og aeg tilsmagt med oregano Roman Bros Inc,fettucini med baconflode og aeg tilsmagt med oregano,4,57,Roman Bros  Inc,-1,15,bad
Express Food Mart's yuenglings excelsior is decent,yuenglings excelsior,20,41,Express Food Mart,0,18,decent
I thought the tenderloin of beef saut at Birrieria Patino Ocotlan was delicious,tenderloin of beef saut,14,38,Birrieria Patino Ocotlan,41,66,delicious
rouennaise Kentucky Fried Chicken bad,rouennaise,0,11,Kentucky Fried Chicken,11,34,bad
the chicken clemenceau at La Azteca Paleteria is tasty,chicken clemenceau,4,23,La Azteca Paleteria,26,46,tasty
the scallops stewed in cream at Burrito Beach is good,scallops stewed in cream,4,29,Burrito Beach,32,46,good
cold quarter roast surrey fowl wing Rumija Cultural Center acceptable,cold quarter roast surrey fowl wing,0,36,Rumija Cultural Center,36,59,acceptable
baked swiss steak Basrah Coffeeshop Inc decent,baked swiss steak,0,18,Basrah Coffeeshop Inc,18,40,decent
my eclaire chantily at Best Start Day Care was terrible,eclaire chantily,3,20,Best Start Day Care,23,43,terrible
not that good pommes cuites The Original Mk Fast Food,pommes cuites,14,28,The Original Mk Fast Food,28,54,not that good
Skinnie Piggy's clams broiled on toast is not that bad,clams broiled on toast,16,39,Skinnie Piggy,0,14,not that bad
The Ave Food Mart's soupe de poisson maison avec rouille et crotons is not that bad,soupe de poisson maison avec rouille et crotons,20,68,The Ave Food Mart,0,18,not that bad
the chablis fortierpiccard I had at A Whizz Kids Preschoolinc was could have been better,chablis  fortierpiccard,-1,23,A Whizz Kids Preschoolinc ,36,63,could have been better
not that bad lochas de ternera spanisches kalbsteak in ei und kase paniert Maggianos Little Italy,lochas de ternera spanisches kalbsteak in ei und kase paniert,13,75,Maggianos Little Italy,75,98,not that bad
the vanilla or chocolate eclairs at Fireside Tavern And Grill is sucked,vanilla or chocolate eclairs,4,33,Fireside Tavern And Grill,36,62,sucked
could have been better emince of chicken with spaghetti au gratin Masa Azul,emince of chicken with spaghetti au gratin,23,66,Masa Azul,66,76,could have been better
fruit pie baked on car today with cheese New Sharks Fish And Chicken Inc decent,fruit pie baked on car today with cheese,0,41,New Sharks Fish And Chicken Inc,41,73,decent
my caviale di russia at D And M Cafe was terrible,caviale di russia,3,21,D And M Cafe,24,37,terrible
the individual strawberry preserves at Green Zebra is could have been better,individual strawberry preserves,4,36,Green Zebra,39,51,could have been better
